,sessionA,sessionB,idA,idB,match_score_gaze,match_score_clu,face_areaA,face_areaB
85,0410,0227,0410_7,0227_7,0.2523699105951552,0.2782077592201683,4284.1914,2819.162
86,0410,0306,0410_2,0306_0,0.27458476070880006,0.2965091740193989,2903.383,2632.5325
87,0410,0306,0410_3,0306_9,0.29057443612145667,0.28773153529106055,3610.9775,3704.5269
88,0410,0306,0410_4,0306_1,0.1608616358265592,0.26950667150614777,2931.9958,2716.4702
89,0410,0306,0410_5,0306_5,0.2325362761823731,0.2079441328517445,4142.949,4444.1704
90,0410,0306,0410_7,0306_9,0.1799740094131805,0.21250163895196686,4284.1914,3704.5269
91,0410,0403,0410_2,0403_10,0.28788644593865603,0.23683407707727988,2903.383,3557.1099
92,0410,0403,0410_3,0403_2,0.253384406493375,0.27226281548425724,3610.9775,4655.5044
93,0410,0403,0410_3,0403_3,0.22891543358521577,0.17352935137188216,3610.9775,3526.7144
94,0410,0403,0410_7,0403_0,0.17845799960745654,0.2976900242260708,4284.1914,5641.326
95,0410,0403,0410_7,0403_1,0.2727587440460538,0.29127659478200574,4284.1914,4514.3613
96,0410,0403,0410_7,0403_3,0.17956962320921319,0.15447419870707899,4284.1914,3526.7144
97,0410,0424,0410_1,0424_7,0.183686377872712,0.17955384755313242,2460.3247,2597.03
98,0410,0424,0410_2,0424_0,0.17984496185966742,0.21495729257705987,2903.383,3438.554
99,0410,0424,0410_2,0424_11,0.23513014619221237,0.2233929243012454,2903.383,4169.4937
100,0410,0424,0410_3,0424_0,0.28337073329215196,0.25126043635384193,3610.9775,3438.554
101,0410,0424,0410_3,0424_11,0.28967650415884366,0.2697176298041983,3610.9775,4169.4937
102,0410,0424,0410_4,0424_1,0.1926703383825687,0.22188763470876208,2931.9958,3210.7979
103,0410,0424,0410_7,0424_0,0.19681135157405077,0.1912837523544392,4284.1914,3438.554
104,0410,0424,0410_7,0424_5,0.14385999765713348,0.25832541124352204,4284.1914,4681.5356
105,0410,0424,0410_7,0424_11,0.28328627608708357,0.22313726331293546,4284.1914,4169.4937
106,0424,0227,0424_0,0227_0,0.22917789922960594,0.2772029030495125,3438.554,3476.4077
107,0424,0227,0424_0,0227_1,0.23497345523890634,0.29875351038110365,3438.554,5123.4834
108,0424,0227,0424_0,0227_7,0.29220041565435667,0.26731375551145964,3438.554,2819.162
109,0424,0227,0424_1,0227_3,0.219258716872943,0.20794734633549758,3210.7979,2946.5615
110,0424,0227,0424_8,0227_10,0.17054875667709307,0.21289381751562414,2932.1304,3153.998
111,0424,0227,0424_11,0227_0,0.21391449822932432,0.2481380375537424,4169.4937,3476.4077
112,0424,0227,0424_11,0227_6,0.2740023780643993,0.2735211924380081,4169.4937,4873.9966
113,0424,0227,0424_11,0227_7,0.25425216845119764,0.22687891801183271,4169.4937,2819.162
114,0424,0306,0424_0,0306_9,0.2187413173723681,0.18638821788077423,3438.554,3704.5269
115,0424,0306,0424_1,0306_1,0.19760433064451968,0.19141509910524318,3210.7979,2716.4702
116,0424,0306,0424_5,0306_9,0.1149099027054428,0.1429762151911321,4681.5356,3704.5269
117,0424,0306,0424_11,0306_0,0.22460362896357755,0.26819677804230135,4169.4937,2632.5325
118,0424,0403,0424_0,0403_3,0.22390556748772353,0.24963802538469457,3438.554,3526.7144
119,0424,0403,0424_11,0403_3,0.23938294111869388,0.25211527758577357,4169.4937,3526.7144
120,0424,0403,0424_11,0403_10,0.22460628115682285,0.22871114958987426,4169.4937,3557.1099
121,0424,0410,0424_0,0410_2,0.17984496185966742,0.21495729257705987,3438.554,2903.383
122,0424,0410,0424_0,0410_3,0.28337073329215196,0.25126043635384193,3438.554,3610.9775
123,0424,0410,0424_0,0410_7,0.19681135157405077,0.1912837523544392,3438.554,4284.1914
124,0424,0410,0424_1,0410_4,0.1926703383825687,0.22188763470876208,3210.7979,2931.9958
125,0424,0410,0424_5,0410_7,0.14385999765713348,0.25832541124352204,4681.5356,4284.1914
126,0424,0410,0424_7,0410_1,0.183686377872712,0.17955384755313242,2597.03,2460.3247
127,0424,0410,0424_8,0410_7,0.2911795998666384,0.28580118601849647,2932.1304,4284.1914
128,0424,0410,0424_11,0410_2,0.23513014619221237,0.2233929243012454,4169.4937,2903.383
129,0424,0410,0424_11,0410_3,0.28967650415884366,0.2697176298041983,4169.4937,3610.9775
130,0424,0410,0424_11,0410_7,0.28328627608708357,0.22313726331293546,4169.4937,4284.1914
