,max_thr,max_pair_thr,max_area_thr,num_true_pairs,num_total_pairs,precision
2657,75,75,85,30,133,0.22556390977443608
2658,75,75,90,31,138,0.2246376811594203
2659,75,75,95,31,139,0.22302158273381295
2660,80,0,0,10,25,0.4
2661,80,0,5,10,25,0.4
2662,80,0,10,10,25,0.4
2663,80,0,15,10,25,0.4
2664,80,0,20,10,25,0.4
2665,80,0,25,10,25,0.4
2666,80,0,30,10,25,0.4
2667,80,0,35,10,25,0.4
2668,80,0,40,10,25,0.4
2669,80,0,45,10,25,0.4
2670,80,0,50,10,25,0.4
2671,80,0,55,10,25,0.4
2672,80,0,60,10,25,0.4
2673,80,0,65,10,25,0.4
2674,80,0,70,10,25,0.4
2675,80,0,75,10,25,0.4
2676,80,0,80,10,25,0.4
2677,80,0,85,10,25,0.4
2678,80,0,90,10,25,0.4
2679,80,0,95,10,25,0.4
2680,80,5,0,10,25,0.4
2681,80,5,5,10,25,0.4
2682,80,5,10,10,25,0.4
2683,80,5,15,10,25,0.4
2684,80,5,20,10,25,0.4
2685,80,5,25,10,25,0.4
2686,80,5,30,10,25,0.4
2687,80,5,35,10,25,0.4
2688,80,5,40,10,25,0.4
2689,80,5,45,10,25,0.4
2690,80,5,50,10,25,0.4
2691,80,5,55,10,25,0.4
2692,80,5,60,10,25,0.4
2693,80,5,65,10,25,0.4
2694,80,5,70,10,25,0.4
2695,80,5,75,10,25,0.4
2696,80,5,80,10,25,0.4
2697,80,5,85,10,25,0.4
2698,80,5,90,10,25,0.4
2699,80,5,95,10,25,0.4
2700,80,10,0,10,25,0.4
2701,80,10,5,11,26,0.4230769230769231
2702,80,10,10,11,26,0.4230769230769231
2703,80,10,15,11,26,0.4230769230769231
2704,80,10,20,11,26,0.4230769230769231
2705,80,10,25,11,26,0.4230769230769231
2706,80,10,30,11,26,0.4230769230769231
2707,80,10,35,11,26,0.4230769230769231
2708,80,10,40,11,26,0.4230769230769231
2709,80,10,45,11,26,0.4230769230769231
2710,80,10,50,11,26,0.4230769230769231
2711,80,10,55,11,26,0.4230769230769231
2712,80,10,60,11,26,0.4230769230769231
2713,80,10,65,11,26,0.4230769230769231
2714,80,10,70,11,26,0.4230769230769231
2715,80,10,75,11,26,0.4230769230769231
2716,80,10,80,11,26,0.4230769230769231
2717,80,10,85,11,26,0.4230769230769231
2718,80,10,90,11,26,0.4230769230769231
2719,80,10,95,11,26,0.4230769230769231
2720,80,15,0,10,25,0.4
2721,80,15,5,13,29,0.4482758620689655
2722,80,15,10,15,32,0.46875
2723,80,15,15,16,36,0.4444444444444444
2724,80,15,20,16,38,0.42105263157894735
2725,80,15,25,16,39,0.41025641025641024
2726,80,15,30,16,39,0.41025641025641024
2727,80,15,35,16,41,0.3902439024390244
2728,80,15,40,16,43,0.37209302325581395
2729,80,15,45,17,45,0.37777777777777777
2730,80,15,50,17,45,0.37777777777777777
2731,80,15,55,19,47,0.40425531914893614
2732,80,15,60,19,47,0.40425531914893614
2733,80,15,65,19,47,0.40425531914893614
2734,80,15,70,19,47,0.40425531914893614
2735,80,15,75,19,47,0.40425531914893614
2736,80,15,80,19,48,0.3958333333333333
2737,80,15,85,19,49,0.3877551020408163
2738,80,15,90,20,50,0.4
2739,80,15,95,20,50,0.4
2740,80,20,0,10,25,0.4
2741,80,20,5,19,40,0.475
2742,80,20,10,24,55,0.43636363636363634
2743,80,20,15,24,70,0.34285714285714286
2744,80,20,20,24,83,0.2891566265060241
2745,80,20,25,25,87,0.28735632183908044
2746,80,20,30,24,91,0.26373626373626374
2747,80,20,35,24,99,0.24242424242424243
2748,80,20,40,24,103,0.23300970873786409
2749,80,20,45,24,105,0.22857142857142856
2750,80,20,50,25,109,0.22935779816513763
2751,80,20,55,27,116,0.23275862068965517
2752,80,20,60,29,120,0.24166666666666667
2753,80,20,65,29,121,0.2396694214876033
2754,80,20,70,29,121,0.2396694214876033
2755,80,20,75,29,122,0.23770491803278687
2756,80,20,80,29,124,0.23387096774193547
2757,80,20,85,29,127,0.2283464566929134
2758,80,20,90,30,131,0.22900763358778625
2759,80,20,95,30,132,0.22727272727272727
2760,80,25,0,10,25,0.4
2761,80,25,5,19,41,0.4634146341463415
2762,80,25,10,24,59,0.4067796610169492
2763,80,25,15,24,73,0.3287671232876712
2764,80,25,20,25,87,0.28735632183908044
2765,80,25,25,26,91,0.2857142857142857
2766,80,25,30,25,95,0.2631578947368421
2767,80,25,35,25,103,0.24271844660194175
2768,80,25,40,25,107,0.2336448598130841
2769,80,25,45,25,110,0.22727272727272727
2770,80,25,50,26,114,0.22807017543859648
2771,80,25,55,28,122,0.22950819672131148
2772,80,25,60,30,125,0.24
2773,80,25,65,30,127,0.23622047244094488
2774,80,25,70,30,127,0.23622047244094488
2775,80,25,75,30,128,0.234375
2776,80,25,80,30,130,0.23076923076923078
2777,80,25,85,30,133,0.22556390977443608
2778,80,25,90,31,138,0.2246376811594203
2779,80,25,95,31,139,0.22302158273381295
2780,80,30,0,10,25,0.4
2781,80,30,5,19,41,0.4634146341463415
2782,80,30,10,24,59,0.4067796610169492
2783,80,30,15,24,73,0.3287671232876712
2784,80,30,20,25,87,0.28735632183908044
2785,80,30,25,26,91,0.2857142857142857
2786,80,30,30,25,95,0.2631578947368421
2787,80,30,35,25,103,0.24271844660194175
2788,80,30,40,25,107,0.2336448598130841
2789,80,30,45,25,110,0.22727272727272727
2790,80,30,50,26,114,0.22807017543859648
2791,80,30,55,28,122,0.22950819672131148
2792,80,30,60,30,125,0.24
2793,80,30,65,30,127,0.23622047244094488
2794,80,30,70,30,127,0.23622047244094488
2795,80,30,75,30,128,0.234375
2796,80,30,80,30,130,0.23076923076923078
2797,80,30,85,30,133,0.22556390977443608
2798,80,30,90,31,138,0.2246376811594203
2799,80,30,95,31,139,0.22302158273381295
2800,80,35,0,10,25,0.4
2801,80,35,5,19,41,0.4634146341463415
2802,80,35,10,24,59,0.4067796610169492
2803,80,35,15,24,73,0.3287671232876712
2804,80,35,20,25,87,0.28735632183908044
2805,80,35,25,26,91,0.2857142857142857
2806,80,35,30,25,95,0.2631578947368421
2807,80,35,35,25,103,0.24271844660194175
2808,80,35,40,25,107,0.2336448598130841
2809,80,35,45,25,110,0.22727272727272727
2810,80,35,50,26,114,0.22807017543859648
2811,80,35,55,28,122,0.22950819672131148
2812,80,35,60,30,125,0.24
2813,80,35,65,30,127,0.23622047244094488
2814,80,35,70,30,127,0.23622047244094488
2815,80,35,75,30,128,0.234375
2816,80,35,80,30,130,0.23076923076923078
2817,80,35,85,30,133,0.22556390977443608
2818,80,35,90,31,138,0.2246376811594203
2819,80,35,95,31,139,0.22302158273381295
2820,80,40,0,10,25,0.4
2821,80,40,5,19,41,0.4634146341463415
2822,80,40,10,24,59,0.4067796610169492
2823,80,40,15,24,73,0.3287671232876712
2824,80,40,20,25,87,0.28735632183908044
2825,80,40,25,26,91,0.2857142857142857
2826,80,40,30,25,95,0.2631578947368421
2827,80,40,35,25,103,0.24271844660194175
2828,80,40,40,25,107,0.2336448598130841
2829,80,40,45,25,110,0.22727272727272727
2830,80,40,50,26,114,0.22807017543859648
2831,80,40,55,28,122,0.22950819672131148
2832,80,40,60,30,125,0.24
2833,80,40,65,30,127,0.23622047244094488
2834,80,40,70,30,127,0.23622047244094488
2835,80,40,75,30,128,0.234375
2836,80,40,80,30,130,0.23076923076923078
2837,80,40,85,30,133,0.22556390977443608
2838,80,40,90,31,138,0.2246376811594203
2839,80,40,95,31,139,0.22302158273381295
2840,80,45,0,10,25,0.4
2841,80,45,5,19,41,0.4634146341463415
2842,80,45,10,24,59,0.4067796610169492
2843,80,45,15,24,73,0.3287671232876712
2844,80,45,20,25,87,0.28735632183908044
2845,80,45,25,26,91,0.2857142857142857
2846,80,45,30,25,95,0.2631578947368421
2847,80,45,35,25,103,0.24271844660194175
2848,80,45,40,25,107,0.2336448598130841
2849,80,45,45,25,110,0.22727272727272727
2850,80,45,50,26,114,0.22807017543859648
2851,80,45,55,28,122,0.22950819672131148
2852,80,45,60,30,125,0.24
2853,80,45,65,30,127,0.23622047244094488
2854,80,45,70,30,127,0.23622047244094488
2855,80,45,75,30,128,0.234375
2856,80,45,80,30,130,0.23076923076923078
2857,80,45,85,30,133,0.22556390977443608
2858,80,45,90,31,138,0.2246376811594203
2859,80,45,95,31,139,0.22302158273381295
2860,80,50,0,10,25,0.4
2861,80,50,5,19,41,0.4634146341463415
